Food Item,Calories,Fat (g),Carbohydrates (g),Fiber (g),Sugar (g),Protein (g)
Apple,52,0.17,13.81,2.4,10.39,0.26
Banana,89,0.3,22.8,2.6,12.2,1.1
Broccoli,29.41,0.00,4.71,2.35,1.18,3.53
Bongards American Cheese,250.00,14.29,7.14,0.00,7.14,21.43
Butter,714.29,78.57,0.00,0.00,0.00,0.00
Carrot,41,0.1,9.0,2.7,5.1,0.8
Chia Seed,500.00,33.33,40.00,33.33,0.00,16.67
Chicken Rotisserie,164.61,8.23,0.59,0.00,0.00,22.34
Chicken Rotisserie Breast,129.3378604,2.939496828,0.0,0.0,0.0,23.51597463
Chicken Rotisserie Skin,405.65,37.39,0.00,0.00,0.00,17.64
Extra Virgin Olive Oil,800.00,93.33,0.00,0.00,0.00,0.00
Green Bell Pepper,20,0.2,4.6,1.7,2.4,0.9
Kerrygold Dubliner Cheese,392.86,32.14,0.00,0.00,0.00,25.00
Kirkland Low Fat Greek Yogurt,58.82,0.00,4.12,0.00,1.76,10.59
Kirkland Mozzarella Cheese Shredded,266.67,20.00,6.67,0.00,0.00,23.33
Kirkland Rolled Oats,375.00,6.25,67.50,10.00,0.00,12.50
Kirkland Whole Milk,66.67,3.75,5.42,0.00,5.00,3.33
Kiwi,56,0.5,13.5,2.8,9,1.1
Knudsen Low Fat Cottage Cheese,75.63,2.10,5.04,0.00,3.36,9.24
Little Creamer Potato,63.64,0.00,14.55,1.82,0.91,1.82
Mayonnaise,714.29,78.57,0.00,0.00,0.00,0.00
Milkfish,148,6.73,0,0,0,20.53
Navy Beans,337,1.5,60.5,15.4,3.9,22.1
Onion,40,0.125,9.375,1.875,4.375,1.25
Pinto Beans,347,1.4,63.4,15.4,0.4,21.6
Quinoa,400.00,6.67,75.56,8.89,4.44,11.11
Red Bell Pepper,31,0.3,6,2.1,4.2,1
Spinach,23.53,0.00,3.53,2.35,0.00,2.35
Strawberries,32,0.3,7.68,2,4.66,0.67
Tillamook Medium Cheddar,428.57,33.33,4.76,0.00,0.00,23.81
Tomato,18,0.2,3.9,1.2,2.6,0.9
White Mushroom,22,0.34,3.28,1,1.65,3.09
Yellow Bell Pepper,27,0.2,6,0.9,4.2,1